artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,release_date,artist_id,genres,release_year,region,era
Mobb Deep,The Infamous,Survival of the Fittest,7N1Vjtzr1lmmCW9iasQ8YO,0.813,0.703,11,-5.077,0,0.268,1.26e-06,0.237,0.241,94.828,224533,4,75,1995-04-25,6O2zJ0tId7g07yzHtX0yap,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']",1995,East,90s
Nas,Illmatic,Represent,6DPrhGVJ1WTZvM9fKptnGe,0.708,0.832,1,-4.964,1,0.318,2.8e-06,0.189,0.618,92.428,252600,4,76,1994-04-19,20qISvAhX20dpIbOOzGK3q,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",1994,East,90s
Gang Starr,Hard To Earn,Mass Appeal,3lGBvPUgO7MJltUnBlOpe9,0.808,0.726,10,-8.435,0,0.252,0.276,0.129,0.616,96.12,221027,4,61,1994-03-08,5cMgGlA1xGyeAB2ctYlRdZ,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']",1994,East,90s
Big L,Lifestylez Ov Da Poor & Dangerous,Put It On,6JI5wNWYdBw68GZjOMmgK5,0.711,0.62,11,-10.174,0,0.212,0.0,0.134,0.805,179.817,217627,4,64,1995-03-28,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",1995,Other,90s
Sheek Louch,Silverback Gorilla,Lottery (Skit),6VjF67azNjUtShTy0Eaz12,0.393,0.641,6,-17.791,1,0.453,0.0,0.508,0.87,118.15,31347,4,37,2008-03-18,14ejEUaU0wE2iAenbbv9b8,['hardcore hip hop'],2008,Other,00s
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",119c93MHjrDLJTApCVGpvx,0.479,0.549,11,-10.551,0,0.373,0.0235,0.127,0.576,180.985,252187,4,77,1993-11-09,34EP7KEpOjXcM2TCat1ISk,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1993,East,90s
GZA,Liquid Swords,Shadowboxin',7bp5DfkdK1OAvNJ1U4HfDA,0.704,0.642,1,-10.11,1,0.39,1.43e-06,0.161,0.72,92.09,209973,4,66,1995-11-07,6ns6XAOsw4B0nDUIovAOUO,"['east coast hip hop', 'hardcore hip hop']",1995,East,90s
Ol' Dirty Bastard,Return to the 36 Chambers: The Dirty Version,Shimmy Shimmy Ya,3ABG1UQTk0eLYUAeWkmfMi,0.814,0.481,0,-5.183,1,0.245,3.83e-05,0.0495,0.193,96.252,161400,4,65,1995-01-01,50NoVNy9GU1lCrDV8iGpyu,"['east coast hip hop', 'hardcore hip hop', 'hip hop']",1995,East,90s
The Notorious B.I.G.,Ready to Die (The Remaster),Who Shot Ya? - 2005 Remaster,2KFg8kjYy0rYjWsXGhEQHN,0.831,0.682,7,-5.697,1,0.238,0.0,0.494,0.6,91.771,319360,4,81,1994-09-13,5me0Irg2ANcsgc93uaYrpb,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1994,East,90s
Big Pun,Capital Punishment (Explicit Version),You Ain't a Killer,14Ai4sTxWbQpNymhpQKuES,0.724,0.887,6,-7.076,1,0.393,0.0,0.112,0.745,90.945,254867,4,71,1998-04-28,2Xu7q46Hf02xOoEIm4E1Qs,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop']",1998,East,90s
